id,product_code,product_weight_kg,fat_content,shelf_visibility,product_category,product_price,store_code,store_age_years,store_size,store_location_tier,store_format,total_sales
row_00000,PRD-PRFP9S,14.252,Low Fat,0.0271,Frozen Foods,81.37,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1764.98
row_00001,PRD-PXXK71,7.698,Low Fat,0.072,HEALTH AND HYGIENE,42.05,STORE-YLW,35,Small,Tier_1,Standard Supermarket,342.13
row_00002,PRD-V5MOIJ,14.264,Regular,0.0421,Canned,41.35,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,378.85
row_00003,PRD-UN5Z3J,,Regular,0.0449,soft drinks,174.35,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,5595.72
row_00004,PRD-6RDQYB,10.338,Regular,0.012,meat,203.06,STORE-9RG,28,Small,Tier_2,Standard Supermarket,2375.36
row_00005,PRD-E6VA05,9.222,Low Fat,0.0405,soft drinks,31.69,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,842.75
row_00006,PRD-MHLD93,,Low Fat,0.1239,Canned,212.23,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,4512.7
row_00007,PRD-EF6Y39,10.21,Regular,0.0133,Snack Foods,142.7,STORE-HL7,23,Medium,Tier_3,Superstore,2373.55
row_00008,PRD-IAZMTU,14.054,Low Fat,0.0233,baking goods,102.71,STORE-HL7,23,Medium,Tier_3,Superstore,2037.05
row_00010,PRD-DH2TA3,8.755,Low Fat,0.0258,household,104.6,STORE-JOR,34,,Tier_3,Corner Shop,213.93
row_00011,PRD-ONGWUL,,Low Fat,0.073,Household,254.12,STORE-T5G,47,Small,Tier_1,Corner Shop,250.01
row_00012,PRD-UX01UP,11.007,Low Fat,0.0304,Snack Foods,234.38,STORE-OYG,25,,Tier_2,Standard Supermarket,4414.42
row_00013,PRD-741NWE,9.558,Regular,0.0,baking goods,49.35,STORE-AGY,45,Large,Tier_3,Standard Supermarket,671.2
row_00014,PRD-PGW90J,13.812,Low Fat,0.0431,Dairy,52.83,STORE-YLW,35,Small,Tier_1,Standard Supermarket,585.91
row_00016,PRD-9USY38,6.997,Low Fat,0.0908,Snack Foods,112.4,STORE-DKU,30,,Tier_2,Standard Supermarket,1305.37
row_00017,PRD-GH9N12,11.154,Regular,0.1041,baking goods,103.22,STORE-9RG,28,Small,Tier_2,Standard Supermarket,2306.15
row_00018,PRD-HVVZBL,18.895,Regular,0.0711,dairy,116.9,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,1784.08
row_00021,PRD-2CQ23Q,7.746,Low Fat,0.0297,CANNED,167.19,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1774.73
row_00022,PRD-SUDBCI,12.896,Low Fat,0.042,SNACK FOODS,178.49,STORE-DKU,30,,Tier_2,Standard Supermarket,4054.27
row_00024,PRD-5QVWC9,6.085,Low Fat,0.1235,HOUSEHOLD,261.49,STORE-OYG,25,,Tier_2,Standard Supermarket,2391.62
row_00025,PRD-8MX1EV,,Low Fat,0.0148,Soft Drinks,51.5,STORE-7WS,47,Medium,Tier_3,Flagship Hypermarket,1252.75
row_00028,PRD-SB61LG,20.321,Regular,0.0493,Fruits and Vegetables,187.72,STORE-OYG,25,,Tier_2,Standard Supermarket,2025.17
row_00029,PRD-VTTR5G,13.707,Regular,0.0569,Breakfast,234.53,STORE-89Z,33,Medium,Tier_1,Standard Supermarket,3050.74
row_00030,PRD-2YAZQT,15.428,Regular,0.0819,Frozen Foods,48.98,STORE-YLW,35,Small,Tier_1,Standard Supermarket,753.42
row_00031,PRD-Q8LYYX,11.265,Regular,0.0735,Frozen Foods,171.96,STORE-YLW,35,Small,Tier_1,Standard Supermarket,2442.31
row_00032,PRD-PZPHJM,16.71,Regular,0.166,SNACK FOODS,140.0,STORE-9RG,28,Small,Tier_2,Standard Supermarket,586.83
row_00035,PRD-S1R8NF,13.385,Regular,0.0266,SNACK FOODS,82.19,STORE-AGY,45,Large,Tier_3,Standard Supermarket,799.46
row_00036,PRD-0QD58X,17.104,Regular,0.0158,Breads,46.03,STORE-DKU,30,,Tier_2,Standard Supermarket,501.46
row_00038,PRD-99VH0W,7.73,Low Fat,0.0511,Fruits and Vegetables,75.49,STORE-DKU,30,,Tier_2,Standard Supermarket,453.78
row_00039,PRD-2SLHIM,20.799,Low Fat,0.0099,Meat,187.29,STORE-YLW,35,Small,Tier_1,Standard Supermarket,536.28
row_00040,PRD-NAMSQE,12.376,Regular,0.2992,BAKING GOODS,79.91,STORE-JOR,34,,Tier_3,Corner Shop,150.54
row_00043,PRD-6Z6CCC,8.763,Low Fat,0.1182,canned,95.64,STORE-AGY,45,Large,Tier_3,Standard Supermarket,1822.06
row_00044,PRD-IWHL8Z,7.594,Low Fat,0.0265,CANNED,148.02,STORE-9RG,28,Small,Tier_2,Standard Supermarket,2701.99
row_00046,PRD-HZXGUJ,8.078,Low Fat,0.0169,DAIRY,52.02,STORE-DKU,30,,Tier_2,Standard Supermarket,847.29
